文件名,实例编号,顶点数n,边数m,标签数q,启发式割集大小,运行时间(s),是否有效
instance_01_n5_p0.1_q2.txt,1,5,3,2,1,0.005,True
instance_02_n5_p0.3_q2.txt,2,5,2,1,1,0.005,True
instance_03_n5_p0.5_q3.txt,3,5,6,3,1,0.008,True
instance_04_n5_p0.7_q2.txt,4,5,6,2,1,0.007,True
instance_05_n5_p0.9_q5.txt,5,5,9,5,4,0.009,True
instance_06_n5_p0.2_q3.txt,6,5,2,2,1,0.005,True
instance_07_n5_p0.4_q4.txt,7,5,4,3,1,0.008,True
instance_08_n5_p0.6_q3.txt,8,5,7,3,2,0.006,True
instance_09_n8_p0.1_q3.txt,9,8,3,3,1,0.005,True
instance_10_n8_p0.3_q4.txt,10,8,10,4,2,0.011,True
instance_11_n8_p0.4_q4.txt,11,8,12,4,2,0.011,True
instance_12_n8_p0.5_q5.txt,12,8,13,5,2,0.012,True
instance_13_n8_p0.6_q5.txt,13,8,15,4,2,0.011,True
instance_14_n8_p0.7_q6.txt,14,8,15,5,3,0.009,True
instance_15_n8_p0.8_q8.txt,15,8,22,7,5,0.011,True
instance_16_n8_p0.9_q7.txt,16,8,23,7,5,0.016,True
instance_17_n10_p0.2_q5.txt,17,10,10,4,1,0.013,True
instance_18_n10_p0.3_q6.txt,18,10,18,5,3,0.01,True
instance_19_n10_p0.4_q6.txt,19,10,21,6,5,0.012,True
instance_20_n10_p0.5_q7.txt,20,10,23,7,6,0.014,True
instance_21_n10_p0.6_q8.txt,21,10,29,8,7,0.018,True
instance_22_n10_p0.7_q9.txt,22,10,32,9,5,0.022,True
instance_23_n10_p0.8_q8.txt,23,10,32,8,7,0.021,True
instance_24_n12_p0.2_q4.txt,24,12,14,4,1,0.014,True
instance_25_n12_p0.4_q6.txt,25,12,24,6,3,0.016,True
instance_26_n12_p0.5_q7.txt,26,12,36,7,6,0.017,True
instance_27_n12_p0.6_q8.txt,27,12,41,8,7,0.026,True
instance_28_n12_p0.7_q6.txt,28,12,51,6,3,0.017,True
instance_29_n12_p0.8_q9.txt,29,12,48,9,9,0.025,True
instance_30_n12_p0.9_q10.txt,30,12,58,10,9,0.066,True
instance_31_n15_p0.2_q5.txt,31,15,14,5,1,0.018,True
instance_32_n15_p0.4_q7.txt,32,15,47,7,5,0.018,True
instance_33_n15_p0.5_q8.txt,33,15,46,7,3,0.023,True
instance_34_n15_p0.6_q8.txt,34,15,62,8,4,0.031,True
instance_35_n15_p0.8_q8.txt,35,15,85,8,8,0.038,True
instance_36_n20_p0.1_q10.txt,36,20,21,8,1,0.01,True
instance_37_n20_p0.2_q10.txt,37,20,40,10,5,0.032,True
instance_38_n20_p0.3_q12.txt,38,20,64,11,7,0.028,True
instance_39_n20_p0.4_q13.txt,39,20,83,13,9,0.029,True
instance_40_n20_p0.5_q15.txt,40,20,104,15,13,0.031,True
instance_41_n20_p0.6_q16.txt,41,20,119,16,12,0.026,True
instance_42_n20_p0.7_q18.txt,42,20,138,18,17,0.033,True
instance_43_n20_p0.8_q20.txt,43,20,157,20,18,0.03,True
instance_44_n20_p0.9_q25.txt,44,20,173,25,24,0.053,True
instance_45_n25_p0.1_q12.txt,45,25,32,11,2,0.05,True
instance_46_n25_p0.3_q14.txt,46,25,92,14,13,0.037,True
instance_47_n25_p0.5_q16.txt,47,25,157,16,14,0.031,True
instance_48_n25_p0.7_q18.txt,48,25,220,18,18,0.036,True
instance_49_n25_p0.9_q22.txt,49,25,276,22,21,0.043,True
instance_50_n30_p0.1_q15.txt,50,30,49,15,1,0.062,True
instance_51_n30_p0.2_q16.txt,51,30,96,16,10,0.029,True
instance_52_n30_p0.3_q18.txt,52,30,133,18,15,0.032,True
instance_53_n30_p0.4_q19.txt,53,30,162,19,15,0.046,True
instance_54_n30_p0.5_q20.txt,54,30,214,20,17,0.054,True
instance_55_n30_p0.6_q21.txt,55,30,264,21,20,0.049,True
instance_56_n30_p0.7_q22.txt,56,30,308,22,22,0.049,True
instance_57_n30_p0.8_q25.txt,57,30,348,25,25,0.05,True
instance_58_n30_p0.9_q30.txt,58,30,394,30,29,0.05,True
instance_59_n35_p0.2_q18.txt,59,35,109,18,12,0.048,True
instance_60_n35_p0.4_q20.txt,60,35,238,20,19,0.045,True
instance_61_n35_p0.6_q22.txt,61,35,346,22,22,0.063,True
instance_62_n35_p0.8_q26.txt,62,35,481,26,25,0.064,True
instance_63_n40_p0.1_q20.txt,63,40,77,19,6,0.073,True
instance_64_n40_p0.3_q22.txt,64,40,248,22,19,0.052,True
instance_65_n40_p0.5_q25.txt,65,40,394,25,23,0.062,True
instance_66_n40_p0.7_q27.txt,66,40,549,27,25,0.065,True
instance_67_n40_p0.9_q30.txt,67,40,703,30,28,0.095,True
instance_68_n40_p0.4_q25.txt,68,40,312,25,23,0.06,True
instance_69_n40_p0.6_q28.txt,69,40,447,28,26,0.064,True
instance_70_n40_p0.8_q29.txt,70,40,611,29,28,0.073,True
instance_71_n45_p0.1_q22.txt,71,45,106,21,12,0.06,True
instance_72_n45_p0.2_q24.txt,72,45,191,24,21,0.063,True
instance_73_n45_p0.3_q25.txt,73,45,306,25,23,0.071,True
instance_74_n45_p0.4_q26.txt,74,45,395,26,25,0.077,True
instance_75_n45_p0.5_q28.txt,75,45,485,28,26,0.071,True
instance_76_n45_p0.6_q30.txt,76,45,584,30,28,0.073,True
instance_77_n45_p0.7_q32.txt,77,45,698,32,30,0.074,True
instance_78_n45_p0.8_q34.txt,78,45,789,34,32,0.083,True
instance_79_n45_p0.9_q36.txt,79,45,892,36,34,0.109,True
instance_80_n50_p0.1_q25.txt,80,50,117,25,1,0.16,True
instance_81_n50_p0.2_q25.txt,81,50,249,25,23,0.053,True
instance_82_n50_p0.3_q26.txt,82,50,386,26,25,0.079,True
instance_83_n50_p0.4_q28.txt,83,50,525,28,27,0.089,True
instance_84_n50_p0.5_q30.txt,84,50,594,30,30,0.064,True
instance_85_n50_p0.6_q32.txt,85,50,730,32,30,0.093,True
instance_86_n50_p0.7_q34.txt,86,50,852,34,33,0.097,True
instance_87_n50_p0.8_q36.txt,87,50,978,36,34,0.119,True
instance_88_n50_p0.9_q38.txt,88,50,1092,38,36,0.126,True
instance_89_n55_p0.2_q28.txt,89,55,288,28,25,0.101,True
instance_90_n55_p0.4_q30.txt,90,55,599,30,26,0.086,True
instance_91_n55_p0.6_q33.txt,91,55,906,33,31,0.115,True
instance_92_n55_p0.8_q36.txt,92,55,1165,36,36,0.126,True
instance_93_n60_p0.1_q30.txt,93,60,144,30,2,0.09,True
instance_94_n60_p0.2_q31.txt,94,60,366,31,29,0.113,True
instance_95_n60_p0.3_q32.txt,95,60,553,32,30,0.092,True
instance_96_n60_p0.4_q34.txt,96,60,681,34,32,0.112,True
instance_97_n60_p0.5_q35.txt,97,60,872,35,33,0.112,True
instance_98_n60_p0.6_q36.txt,98,60,1036,36,35,0.123,True
instance_99_n60_p0.7_q38.txt,99,60,1249,38,37,0.153,True
instance_100_n60_p0.8_q40.txt,100,60,1412,40,39,0.154,True
